accountsservice 0.6.55-1
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcmciautils 018-8
pdfgrep 2.1.2-1
pdftk 3.0.10-1
perf 5.6.1_gnu-1
perl 5.30.2-1
phonon-qt4 4.10.2-5
pkgconf 1.6.3-3
pngcrush 1.8.13-2
polybar-git 3.4.0.r82.g15496bfb-1
postfix 3.5.1-1
powertop 2.11-1
procps-ng 3.3.16-1
psmisc 23.3-2
pulse-secure 9.1r4.0_b143-1
pulseaudio 13.0-3
pulseaudio-alsa 2-5
pulseaudio-jack 13.0-3
pv 1.6.6-2
pyenv 1.2.18-1
python-dbus 1.2.16-1
python-pip 20.0.2-1
python-pynvim 0.4.1-1
python-pyqt4 4.12.3-4
python-pywal 3.3.0-2
python2-pip 20.0.2-1
python2-pyqt4 4.12.3-4
qemu 4.2.0-2
qt4 4.8.7-31
qterminal 0.14.1-1
qtermwidget 0.14.1-1
r 3.6.3-1
ranger 1.9.3-1
read-edid 3.0.2-2
reiserfsprogs 3.6.27-3
retroarch 1.8.5-1.parabola1
retroarch-assets-xmb 1:295-1
riot-web 1.5.15-1
ripgrep 12.0.1-1
rofi-git 1.5.4.r89.g75871499-1
rofi-pass 2.0.2-2
rofimoji 4.1.1-1
rstudio-desktop 1.1.442-1
rxvt-unicode 9.22-9
s-nail 14.9.18-1
schedtool 1.3.0-6
scons 3.1.2-2
screenkey 0.9-1
scrot 1.2-1
sed 4.8-1
shadow 4.8.1-1
shotcut 20.04.12-1
simple-scan 3.36.1-1
simplescreenrecorder 0.3.11-1
sl 5.02-5
slock 1.4-3
squashfs-tools 4.4-1
stow 2.3.1-2
strace 5.6-1
stress 1.0.4-5
sudo 1.8.31.p1-1
surf 2.0-2
sxiv 26-1
sysfsutils 2.1.0-11
syslinux 6.04.pre2.r11.gbf6db5b4-3.parabola1
systemd-sysvcompat 245.4-2.parabola1
tar 1.32-3
tcl 8.6.10-1
terminal-colors 2.2-1
testdisk 7.1-1
texinfo 6.7-2
